78.385,316.4,111.76,677.78,225,189.25,100.87,135.1,445.28,582.69,187.23,175.27
29.928,40.552,61.263,446.19,768.16,123.65,119.31,151.48,294.14,415.82,368.74,51.796
21.882,43.364,118.07,859.51,997.64,192.42,63.157,172.73,484.15,907.43,208.03,97.919
21.988,29.711,106.37,601.18,1781.7,322.87,158.21,138.62,414.12,539.96,126.53,53.254
7.494,6.411,32.716,240.53,2221,709.41,205.07,161.71,277.12,365.66,52.883,51.916
20.242,47.05,70.925,451.61,1108.2,340.88,126.15,100.55,337.3,430.07,73.208,85.602
45.892,20.258,92.878,458.95,1627.4,367.15,86.853,155.72,190.96,749.1,96.129,105.76
6.043,60.931,44.742,544.77,1617.9,189.78,147.27,104.69,279.93,668.15,71.003,164.1
25.905,39.061,109.18,741.69,782.33,66.996,72.167,107.66,460.89,840.29,180,69.866
36.152,31.16,60.336,542.6,609.15,134.98,52.206,109.44,437.58,892.95,134.06,79.931
6.356,24.55,34.681,238.1,601.83,281.59,114.65,175.17,135.4,369.96,34.8,32.532
44.563,19.81,267.3,1116.1,2323.7,280.34,131.21,155.72,674.74,1142.3,405.81,105.99
9.254,18.322,72.924,369.11,1473.5,265.68,120.53,136.02,325.31,524.14,75.552,29.827
22.083,16.957,59.13,401.33,1370.8,555.65,101.9,182.58,330.23,667.98,70.676,35.163
15.191,19.969,81.765,542.75,1777.5,190.35,167.7,89.084,244.19,371.3,65.833,62.791
15.706,20.436,61.872,723.15,1172.9,392.99,93.183,154.98,308.71,291.16,207.87,75.837
30.816,46.069,134.78,718.78,1534.7,313.94,270.02,146.47,366.7,1658.2,463.15,93.442
18.592,24.074,43.742,186.64,821.82,438.53,146.05,163.46,242.99,333.13,107.85,55.691
31.057,30.984,81.202,860.65,1282.2,173.13,153.97,159.79,190.26,487.33,310.71,144.84
9.94,18.246,169.89,1241.9,1554.9,498.36,119.22,225.96,512.95,652.58,91.034,30.545
41.466,21.028,131.13,705.1,840.73,217.86,51.468,78.818,216.97,491.54,111.74,58.571
16.54,25.128,51.554,420.64,419.78,95.475,67.414,58.872,98.658,195.15,64.398,46.776
20.481,19.406,62.419,262.59,806.94,288.74,68.243,87.564,227,547.52,55.893,66.43
13.434,22.898,106.16,643.28,757.53,178.76,32.841,96.148,129.38,329.82,338.66,91.636
5.641,15.807,36.358,456.31,751.04,276.02,55.886,127.09,667.35,620.26,98.707,129.91
11.848,23.319,96.027,546.88,1447.8,260.85,103.63,157.48,380.76,456.57,390.33,684.91
9.983,17.141,49.867,625.48,756.11,221.82,61.575,107.17,249.62,805.52,167.31,43.552
25.496,26.501,81.376,702.61,421.58,78.585,94.262,82.468,261.3,292.88,113.86,97.724
24.027,35.518,75.993,797.11,1133.3,82.111,95.452,174.61,720.38,1055.9,192.37,160.11
11.162,92.432,78.524,1332.3,3444.3,247.61,78.259,202.83,374.59,1362.3,239.34,428.08
